id,level,condition,breakthrough time,start point x,start point y,end point x,end point y,start time,end time,errors,undershoots,overshoots,direction changes,total time
0,1,Normal Momo Mode,0.0,25.43582,473.92648,75.676,473.99335,7504.0,12774.0,0,1,0,1,5270.0
1,2,Normal Momo Mode,0.0,75.676,473.99335,336.60886,456.69455,12774.0,18600.0,0,1,0,1,5826.0
2,3,Normal Momo Mode,0.0,336.60886,456.69455,262.04718,473.56964,18600.0,25448.0,0,2,0,0,6848.0
3,5,Normal Momo Mode,0.0,262.04718,473.56964,139.47812,421.49725,25448.0,30856.0,0,1,0,2,5408.0
4,6,Normal Momo Mode,0.0,139.47812,421.49725,81.4853,419.0475,30856.0,35057.0,0,0,0,3,4201.0
5,7,Normal Momo Mode,0.0,81.4853,419.0475,335.69196,334.11017,35057.0,40199.0,0,3,0,0,5142.0
6,8,Normal Momo Mode,0.0,335.69196,334.11017,263.35312,352.9176,40199.0,43317.0,0,1,0,1,3118.0
7,9,Normal Momo Mode,0.0,263.35312,352.9176,76.58878,293.38974,43317.0,49886.0,0,3,0,1,6569.0
8,10,Normal Momo Mode,0.0,76.58878,293.38974,89.61738,367.21735,49886.0,51948.0,0,0,0,0,2062.0
9,11,Normal Momo Mode,,89.61738,367.21735,,,51948.0,,,,,,
